English,Hindi
"Do you want to play hangman?","क्या आप हैंगमैन खेलना चाहते हैं?"
"Do you want to play charades?","क्या आप शरेड्स खेलना चाहते हैं?"
"Do you want to play bingo?","क्या आप बिंगो खेलना चाहते हैं?"
"Do you want to play card games?","क्या आप कार्ड गेम्स खेलना चाहते हैं?"
"Do you want to play board games?","क्या आप बोर्ड गेम्स खेलना चाहते हैं?"
"Do you want to play video games?","क्या आप वीडियो गेम्स खेलना चाहते हैं?"
"Do you want to play sports?","क्या आप खेलना चाहते हैं?"
"Do you want to play indoor games?","क्या आप इनडोर गेम्स खेलना चाहते हैं?"
"Do you want to play outdoor games?","क्या आप आउटडोर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the computer?","क्या आप कंप्यूटर पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the phone?","क्या आप फोन पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the tablet?","क्या आप टैबलेट पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the console?","क्या आप कंसोल पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the TV?","क्या आप टीवी पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the handheld device?","क्या आप हैंडहेल्ड डिवाइस पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the VR headset?","क्या आप वीआर हेडसेट पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the AR glasses?","क्या आप एआर ग्लासेस पर गेम्स खेलना चाहते हैं?"
"Do you want to play games on the smartwatch?","क्या आप स्मार्टवॉच पर गेम्स खेलना चाहते हैं?"
